序号,单位名称,类别,地址,辖区,评级时间,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,香格里拉大酒店（深圳福田）有限公司（员工餐厅）,机关企事业单位食堂,深圳市福田区益田路4088号福田香格里拉大酒店首层夹层部分,福田区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,星河实业（深圳）有限公司丽思卡尔顿酒店（中餐厅）,其他餐饮,深圳市福田区福华三路星河发展中心大厦酒店塔楼四层,福田区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,星河实业（深圳）有限公司丽思卡尔顿酒店（宴会餐厅）,其他餐饮,深圳市福田区福华三路星河发展中心大厦酒店塔楼三层,福田区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,星河实业（深圳）有限公司丽思卡尔顿酒店（意大利及全日制餐厅）,其他餐饮,深圳市福田区福华三路星河发展中心大厦酒店塔楼二层,福田区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,星河实业（深圳）有限公司丽思卡尔顿酒店（行政酒廊）,其他餐饮,深圳市福田区福华三路星河发展中心大厦酒店塔楼二十二层部分,福田区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,星河实业（深圳）有限公司丽思卡尔顿酒店（糕点店）,其他餐饮,深圳市福田区福华三路星河发展中心大厦酒店塔楼一层西侧,福田区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,星河实业（深圳）有限公司丽思卡尔顿酒店（员工餐厅）,机关企事业单位食堂,深圳市福田区福华三路星河发展中心大厦酒店塔楼地下一层,福田区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,星河实业（深圳）有限公司丽思卡尔顿酒店（池畔吧）,其他餐饮,深圳市福田区福华三路星河发展中心大厦酒店塔楼五层,福田区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,星河实业（深圳）有限公司丽思卡尔顿酒店（酒吧、大堂吧）,其他餐饮,深圳市福田区福华三路星河发展中心大厦酒店塔楼一层北侧、东侧,福田区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,深圳圣廷苑酒店有限公司,其他餐饮,深圳市福田区华强北路长兴大厦,福田区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
