序号,单位名称,类别,地址,辖区,评级时间,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,龙城高级中学食堂,学校食堂,深圳市龙岗区龙城街道黄阁北路,龙岗区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,深圳市第三高级中学食堂,学校食堂,深圳市龙岗区龙岗中心城如意路,龙岗区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,深圳市龙岗中等专业学校食堂,学校食堂,深圳市龙岗区龙岗中心城清林中路,龙岗区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,深圳市龙岗区实验学校食堂,学校食堂,深圳市龙岗区龙岗中心城爱心路,龙岗区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,深圳市龙岗区机关幼儿园食堂,学校食堂,深圳市龙岗区龙岗中心城龙福一村,龙岗区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,深圳市龙岗区黄阁翠苑幼儿园食堂,学校食堂,深圳市龙岗区龙岗中心城黄阁翠苑,龙岗区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,深圳市龙岗区平湖街道中心幼儿园食堂,学校食堂,深圳市龙岗区平湖街道新园路89号,龙岗区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,深圳市龙岗区坂田街道五园第二幼儿园,学校食堂,深圳市龙岗区坂田街道万科城第五园内,龙岗区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,文华旭景幼儿园食堂,学校食堂,深圳市龙岗区坂田街道珠江地产小区内,龙岗区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,簕杜鹃坂田幼儿园食堂,学校食堂,深圳市龙岗区坂田街道坂田龙园路,龙岗区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,怡乐幼儿园食堂,学校食堂,深圳市龙岗区南湾街道大芬村怡乐花园,龙岗区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,龙岗街道平冈中学食堂,学校食堂,深圳市龙岗街道龙平东路252号,龙岗区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,深圳市平湖外国语学校食堂,学校食堂,深圳市龙岗区平湖街道山厦世界大道,龙岗区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,深圳市龙岗区坪地惠华学校食堂,学校食堂,深圳市龙岗区坪地宝勤路2号,龙岗区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,深圳市龙岗区坪地四方埔幼儿园食堂,学校食堂,深圳市龙岗区坪地街道四方埔兴埔路138号,龙岗区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,深圳市龙岗横岗街道中海大山地幼儿园食堂,学校食堂,深圳市龙岗区横岗街道中海大山地小区南别墅区内,龙岗区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,深圳市龙岗区机关生活服务中心区府食堂,机关企事业单位食堂,深圳市龙岗区龙城街道区政府大楼一层,龙岗区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,深圳市龙岗区机关生活服务中心海关食堂,机关企事业单位食堂,深圳市龙岗区龙城街道海关大厦地下一楼,龙岗区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,深圳市点典餐饮服务有限公司食堂,机关企事业单位食堂,深圳市龙岗区坂田街道稼先路华为工业城科研中心大楼1楼南座,龙岗区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,深圳市东旭餐钦有限公司食堂,机关企事业单位食堂,深圳市龙岗区坂田街道华为基地华电食堂第一层,龙岗区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,深圳市金白领餐饮公司华为培训中心食堂,机关企事业单位食堂,深圳市龙岗区坂田街道坂田雪岗工业区内,龙岗区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,深圳市迈志毫餐饮实业有限公司食堂,机关企事业单位食堂,深圳市龙岗区坂田街道坂田华为基地华为科研中心,龙岗区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,深圳市宝兴滨海饮食服务有限公司,其他餐饮,深圳市宝安区新安街道兴华路南侧荣超滨海大厦A、B,宝安区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,宝安中学（初中部）食堂,学校食堂,深圳市宝安区新安街道20区,宝安区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,建安新村幼儿园食堂,学校食堂,深圳市宝安区新安街道30区,宝安区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,深圳市宝安区新安街道特蕾新幼儿园食堂,学校食堂,深圳市宝安区新安街道创业路丽晶国际小区,宝安区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,深圳市宝安区宝安小学食堂,学校食堂（公办）,深圳市宝安区新安街道新中心区创业一路,宝安区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,中英公学（小学部）食堂,学校食堂,深圳市宝安区西乡街道海城路,宝安区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,华胜实验学校食堂,学校食堂,深圳市宝安区西乡街道三围村教育城1号,宝安区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,深圳市崛起教育投资有限公司西乡街道崛起第二幼儿园食堂,学校食堂,深圳市宝安区西乡街道94－2区圣陶沙俊园7号楼,宝安区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,深圳市福永街道凤凰小学食堂,学校食堂,深圳市宝安区福永街道凤凰社区,宝安区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,深圳市宝安区松岗东方小学食堂,学校食堂,深圳市宝安区松岗街道东方社区,宝安区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,石岩中心幼儿园食堂,学校食堂,深圳市宝安区石岩街道梅园一路12号,宝安区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,观澜中学食堂,学校食堂,深圳市龙华新区观澜街道办育才路,龙华区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,大元明珠幼儿园食堂,学校食堂,深圳市龙华新区龙华街道劲力城市明珠花园内,龙华区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,深圳市宝安区民治街道鑫茂幼儿园食堂,学校食堂,深圳市龙华新区民治街道潜龙鑫茂花园A区内,龙华区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,万家灯火幼儿园食堂,学校食堂,深圳市龙华新区区民治街道万家灯火内,龙华区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,大浪育英小学食堂,学校食堂,深圳市龙华新区大浪街道上早工业区第13栋,龙华区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,沙井中学食堂,学校食堂,深圳市宝安区沙井街道衙边村东岳路1号,宝安区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,和平中英文实验学校食堂,学校食堂,深圳市宝安区福永街道永和路,宝安区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,荣根学校食堂,学校食堂,深圳市宝安区沙井街道环镇路88号,宝安区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,燕山小学食堂,学校食堂,深圳市宝安区松岗街道燕川村,宝安区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,展华实验学校食堂,学校食堂,深圳市龙华新区龙华街道油松居委会上油松,龙华区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,牛栏前学校食堂,学校食堂,深圳市龙华新区民治街道民治大道牛栏前社区后,龙华区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,宝安区西乡径贝小学食堂,学校食堂,深圳市宝安区西乡街道径贝社区,宝安区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,松和小学食堂,学校食堂,深圳市龙华新区龙华街道油松居委会上油松,龙华区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,清湖小学职工食堂,学校食堂,深圳市龙华新区龙华街道清湖居委会请华路,龙华区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,固戍小学食堂,学校食堂,深圳市宝安区西乡街道固戍村,宝安区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,福新小学食堂,学校食堂,深圳市宝安区福永街道新和远东路,宝安区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,塘尾幼儿园教职工、幼儿食堂,学校食堂,深圳市宝安区福永街道塘尾社区,宝安区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,沙井中心幼儿园食堂,学校食堂,深圳市宝安区沙井街道沙壆新村24号,宝安区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,深圳市宝安区沙井街道壆岗幼儿园食堂,学校食堂,深圳市宝安区沙井街道壆岗村前大道,宝安区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,深圳市宝安区民治特蕾春华幼儿园食堂,学校食堂,深圳市龙华新区民治街道春华四季园小区,龙华区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,深圳市宝安区机关幼儿园食堂,学校食堂,深圳市宝安区新安街道,宝安区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,深圳市龙华区行知小学附属丰润幼儿园,学校食堂,深圳市龙华新区民治街道丰润花园内,龙华区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,崇文幼儿园食堂,学校食堂,深圳市宝安区松岗街道江边社区,宝安区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,深圳市宝安区松岗中英文幼儿园食堂,学校食堂,深圳市宝安区松岗街道松岗社区,宝安区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,深圳市潜龙学校食堂,学校食堂,深圳市龙华新区民治民丰路79号,龙华区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,深圳卷烟厂食堂,机关企事业单位食堂,深圳市龙华新区清湖工业园,龙华区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,鸿富锦精密工业（深圳）有限公司CKT食堂,机关企事业单位食堂,深圳市龙华新区第十工业区东环二路2号,龙华区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,富士康CK1食堂,机关企事业单位食堂,深圳市龙华新区东环二路富士康工业园内,龙华区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,深圳市宝明城花园酒店实业有限公司,其他餐饮,深圳市光明新区公明办事处公明建设路24区,光明新区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,深圳市育新学校（食堂）,学校食堂,深圳市光明新区光明街道凤凰居委,光明新区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,深圳市光明书院食堂,学校食堂,深圳市光明新区光明街道红湖村,光明新区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,深圳市光明新区公明第二幼儿园食堂,学校食堂,深圳市光明新区办事处长春花园内,光明新区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,深圳市光明中学食堂,学校食堂,深圳市光明新区光明办事处校园路,光明新区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,深圳市光明新区光明新区光明爱华小学食堂,学校食堂,深圳市光明新区光明办事处圳美社区石介头,光明新区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,深圳市光明新区华美园家具（深圳）有限公司职工食堂,机关企事业单位食堂,深圳市光明新区光明办事处圳美社区圳美工业园,光明新区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,深圳市圣廷苑酒店有限公司（馥轩中餐厅）,其他餐饮,深圳市福田区华强北路长兴大厦三、四楼部分,福田区,2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,深圳五洲宾馆,其他餐饮,深圳市福田区深南大道6001号,福田区,2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,深圳市山水宾馆有限公司,其他餐饮,深圳市福田区新闻路61号一、三楼,福田区,2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,中城新星渔港酒家（深圳）有限公司,其他餐饮,深圳市福田区新洲路与新洲六街交汇处中城天邑花园酒店部分二、四层,福田区,2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,深圳市花园格兰云天大酒店有限公司（中餐厅）,其他餐饮,深圳市福田区深南中路田面大厦3楼,福田区,2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,深圳市花园格兰云天大酒店有限公司（西餐厅）,其他餐饮,深圳市福田区深南中路田面大厦2楼,福田区,2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,深圳市绿景酒店有限公司餐饮部,其他餐饮,深圳市福田区新洲路与新洲六街交汇处中城天邑花园酒店一层部分,福田区,2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,深圳市雅枫酒店管理有限公司雅枫国际酒店西餐厅,其他餐饮,深圳市福田区商报路和景田路交界处福田区图书馆大厦首层东大厅,福田区,2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,深圳市雅枫酒店管理有限公司雅枫国际酒店,其他餐饮,深圳市福田区商报路和景田路交界处福田区图书馆大厦5-6层全部,福田区,2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,深圳银鹰第二幼儿园食堂,学校食堂,深圳市福田区笋岗路莲花一村,福田区,2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,深圳地铁物业管理发展有限公司职工食堂,机关企事业单位食堂,深圳市福田区福中一路1016号深圳地铁大厦铺二层北面,福田区,2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,华润（深圳）有限公司君悦酒店,其他餐饮,深圳市罗湖区桂园街道宝安南路1881号,罗湖区,2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,深圳阳光酒店,其他餐饮,深圳市罗湖区嘉宾路一号芙蓉大厦c座一、二层,罗湖区,2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,深圳市罗湖区金色年华新秀幼儿园食堂,学校食堂,深圳市罗湖区新秀村新秀路103号,罗湖区,2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,华润（深圳）有限公司君悦酒店,机关企事业单位食堂,深圳市罗湖区桂园街道宝安南路1881号华润中心君悦酒店地下一层部分,罗湖区,2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,深圳市洪湖小学食堂,学校食堂,深圳市罗湖区洪湖路洪湖五街23号,罗湖区,2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,深圳威尼斯酒店酒吧,其他餐饮,深圳市南山区华侨城深南大道9026号二楼,南山区,2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,深圳威尼斯酒店日韩餐厅,其他餐饮,深圳市南山区华侨城深南大道9026号二楼,南山区,2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,深圳威尼斯酒店西餐厅,其他餐饮,深圳市南山区华侨城深南大道9026号一至三楼,南山区,2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,深圳威尼斯酒店职工食堂,机关企事业单位食堂,深圳市南山区华侨城深南大道9026号二楼,南山区,2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,深圳市益田假日广场有限公司威斯汀酒店(中西餐),其他餐饮,深圳市南山区沙河益田假日广场负4层、1层,南山区,2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,深圳市益田假日广场有限公司威斯汀酒店(中餐),其他餐饮,深圳市南山区沙河益田假日广场负4层、3层、1层,南山区,2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,深圳市南山区元凤艺术幼儿园食堂,学校食堂,深圳市南山区红花路中段元凤艺术幼儿园,南山区,2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,深圳市南山外国语学校滨海分校食堂,学校食堂,深圳市南山区蛇口望海路半岛城邦二期,南山区,2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,深圳职业技术学院食堂（东校区教工食堂）,学校食堂,深圳市南山区西丽湖深圳职业技术学院东校区教学楼北侧教工食堂一至三层,南山区,2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,深圳职业技术学院食堂(东校区南门食堂),学校食堂,深圳市南山区西丽沙河西路北职业技术学院内南门侧,南山区,2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,深圳职业技术学院食堂（北校区食堂）,学校食堂,深圳市南山区沙河西路深圳职业技术学院内,南山区,2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,深圳职业技术学院食堂（西校区教工食堂）,学校食堂,深圳市南山区职业技术学院西校区行政办公楼西侧教工食堂,南山区,2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,深圳百瑞达大酒店有限公司,其他餐饮,深圳市龙岗区坂田街道华为工业区南侧新天下工业城4栋,龙岗区,2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
