"订单编号","标题","价格","购买数量","外部系统编号","商品属性","套餐信息","备注","订单状态","商家编码"
="390846466150827166","美逸/MEIYI黑金刚快充电宝20000M毫安大容量移动电源Type-C手机PD","109.00","1","32833478149","颜色分类：GT20白骑士[QC3.0快充]","null","null","卖家已发货，等待买家确认","32833478149"
="390268192969174881","美逸/MEIYI黑金刚快充电宝20000M毫安大容量移动电源Type-C手机PD","99.00","1","32833478149","颜色分类：GT20原色[LED数显屏]","null","null","卖家已发货，等待买家确认","32833478149"
="271178246769385591","美逸/MEIYI苹果数据线iPhoneXPlus充电器ios手机安卓ipad2M快充X","19.80","1","null","颜色分类：安卓micro樱花粉[【2m】提速70%]","null","null","卖家已发货，等待买家确认","null"
="270879940381077792","吃鸡神器刺激战场按键吸盘手柄绝地求生手机游戏辅助苹果四指射击","30.00","1","null","颜色分类：深灰色[收藏送好礼]","null","null","交易成功","null"
="287532463684284723","吃鸡神器刺激战场按键吸盘手柄绝地求生手机游戏辅助苹果四指射击","30.00","1","null","颜色分类：深灰色[收藏送好礼]","null","null","卖家已发货，等待买家确认","null"
="287531151545739806","吃鸡神器刺激战场按键吸盘手柄绝地求生手机游戏辅助苹果四指射击","30.00","1","null","颜色分类：深灰色[收藏送好礼]","null","null","卖家已发货，等待买家确认","null"
="286951980972385229","吃鸡神器刺激战场按键吸盘手柄绝地求生手机游戏辅助苹果四指射击","30.00","1","null","颜色分类：深灰色[收藏送好礼]","null","null","卖家已发货，等待买家确认","null"
="390155136646691183","吃鸡神器刺激战场按键吸盘手柄绝地求生手机游戏辅助苹果四指射击","30.00","1","null","颜色分类：深灰色[收藏送好礼]","null","null","卖家已发货，等待买家确认","null"
="270962949818255891","吃鸡神器刺激战场按键吸盘手柄绝地求生手机游戏辅助苹果四指射击","30.00","1","null","颜色分类：深灰色[收藏送好礼]","null","null","卖家已发货，等待买家确认","null"
="287512431062871911","吃鸡神器刺激战场按键吸盘手柄绝地求生手机游戏辅助苹果四指射击","30.00","1","null","颜色分类：深灰色[收藏送好礼]","null","null","交易成功","null"
="390449441022358958","吃鸡神器刺激战场按键吸盘手柄绝地求生手机游戏辅助苹果四指射击","30.00","1","null","颜色分类：深灰色[收藏送好礼]","null","null","卖家已发货，等待买家确认","null"
="287240270909942529","吃鸡神器刺激战场按键吸盘手柄绝地求生手机游戏辅助苹果四指射击","30.00","1","null","颜色分类：深灰色[收藏送好礼]","null","null","交易成功","null"
="390109504267065946","吃鸡神器刺激战场按键吸盘手柄绝地求生手机游戏辅助苹果四指射击","30.00","1","null","颜色分类：深灰色[收藏送好礼]","null","null","交易关闭","null"
="390616130653822987","吃鸡神器刺激战场按键吸盘手柄绝地求生手机游戏辅助苹果四指射击","30.00","1","null","颜色分类：深灰色[收藏送好礼]","null","null","卖家已发货，等待买家确认","null"
="287209934652928827","美逸/MEIYI黑金刚快充电宝20000M毫安大容量移动电源Type-C手机PD","109.00","1","32833478149","颜色分类：GT20白骑士[QC3.0快充]","null","null","卖家已发货，等待买家确认","32833478149"
="287089294275595603","吃鸡神器刺激战场按键吸盘手柄绝地求生手机游戏辅助苹果四指射击","30.00","1","null","颜色分类：深灰色[收藏送好礼]","null","null","交易成功","null"
="390562915149042734","吃鸡神器刺激战场按键吸盘手柄绝地求生手机游戏辅助苹果四指射击","30.00","1","null","颜色分类：深灰色[收藏送好礼]","null","null","交易成功","null"
="390556355845022234","吃鸡神器刺激战场按键吸盘手柄绝地求生手机游戏辅助苹果四指射击","30.00","1","null","颜色分类：深灰色[收藏送好礼]","null","null","卖家已发货，等待买家确认","null"
="287069486400013901","吃鸡神器刺激战场按键吸盘手柄绝地求生手机游戏辅助苹果四指射击","30.00","1","null","颜色分类：深灰色[收藏送好礼]","null","null","卖家已发货，等待买家确认","null"
="390057825324990774","吃鸡神器刺激战场按键吸盘手柄绝地求生手机游戏辅助苹果四指射击","30.00","1","null","颜色分类：深灰色[收藏送好礼]","null","null","卖家已发货，等待买家确认","null"
="390254754120807073","吃鸡神器刺激战场按键吸盘手柄绝地求生手机游戏辅助苹果四指射击","30.00","1","null","颜色分类：深灰色[收藏送好礼]","null","null","卖家已发货，等待买家确认","null"
="286851245698311527","吃鸡神器刺激战场按键吸盘手柄绝地求生手机游戏辅助苹果四指射击","30.00","1","null","颜色分类：深灰色[收藏送好礼]","null","null","卖家已发货，等待买家确认","null"
="390247138857311387","吃鸡神器刺激战场按键吸盘手柄绝地求生手机游戏辅助苹果四指射击","30.00","1","null","颜色分类：深灰色[收藏送好礼]","null","null","交易成功","null"
="271098758837782795","吃鸡神器刺激战场按键吸盘手柄绝地求生手机游戏辅助苹果四指射击","30.00","1","null","颜色分类：深灰色[收藏送好礼]","null","null","卖家已发货，等待买家确认","null"
="390528707921030977","吃鸡神器刺激战场按键吸盘手柄绝地求生手机游戏辅助苹果四指射击","30.00","1","null","颜色分类：深灰色[收藏送好礼]","null","null","卖家已发货，等待买家确认","null"
="389881409229987266","美逸/MEIYI苹果数据线iPhoneXPlus充电器ios手机安卓ipad2M快充X","19.80","1","null","颜色分类：苹果ios樱花粉[【1m】提速70%]","null","null","卖家已发货，等待买家确认","null"
="390187203442829088","吃鸡神器刺激战场按键吸盘手柄绝地走位手机手游辅助苹果四指射击","38.00","3","null","颜色分类：深灰色[收藏送好礼]","null","null","交易成功","null"
="286694605555068720","吃鸡神器刺激战场按键吸盘手柄绝地走位手机手游辅助苹果四指射击","38.00","5","null","颜色分类：深灰色[收藏送好礼]","null","null","卖家已发货，等待买家确认","null"
="389541730045764031","美逸/MEIYI黑金刚快充电宝20000M毫安大容量移动电源Type-C手机PD","135.00","2","32833478149","颜色分类：GT20黑金刚[苹果pd快充+QC3.0]","null","null","卖家已发货，等待买家确认","32833478149"
="388090593459984385","美逸大容量手机充电宝30000毫安聚合物电芯数显移动电源多USB口通","99.00","1","4208837","颜色分类：乳白色","null","null","卖家已发货，等待买家确认","4208837"
="387026113415207051","美逸/MEIYI黑金刚快充电宝20000M毫安大容量移动电源Type-C手机PD","109.00","1","32833478149","颜色分类：GT20白骑士[QC3.0快充]","null","null","卖家已发货，等待买家确认","32833478149"
="285519149960030720","美逸/MEIYI苹果数据线iPhoneXPlus充电器ios手机安卓ipad2M快充X","19.80","1","null","颜色分类：安卓micro天空蓝[【2m】提速70%]","null","null","交易成功","null"
="270477029006065493","美逸/MEIYI苹果数据线iPhoneXPlus充电器ios手机安卓ipad2M快充X","19.80","1","null","颜色分类：苹果ios岩石灰[【1m】提速70%]","null","null","交易成功","null"
="285729774605393927","美逸/MEIYI苹果数据线iPhoneXPlus充电器ios手机安卓ipad2M快充X","19.80","1","null","颜色分类：苹果ios湖水绿[【1m】提速70%]","null","null","卖家已发货，等待买家确认","null"
="285729230894508911","美逸/MEIYI苹果数据线iPhoneXPlus充电器ios手机安卓ipad2M快充X","19.80","1","null","颜色分类：安卓micro天空蓝[【2m】提速70%]","null","null","交易成功","null"
="285515405814393927","美逸/MEIYI苹果数据线iPhoneXPlus充电器ios手机安卓ipad2M快充X","19.80","1","null","颜色分类：苹果ios湖水绿[【1m】提速70%]","null","null","交易关闭","null"
="386664736365978879","美逸/MEIYI苹果数据线iPhoneXPlus充电器ios手机安卓ipad2M快充X","19.80","1","null","颜色分类：苹果ios金橙黄[【1m】提速70%]","null","null","交易成功","null"
="387000609324842141","美逸/MEIYI苹果数据线iPhoneXPlus充电器ios手机安卓ipad2M快充X","19.80","1","null","颜色分类：安卓micro金橙黄[【2m】提速70%]","null","null","交易成功","null"
="285511501725271018","美逸/MEIYI苹果数据线iPhoneXPlus充电器ios手机安卓ipad2M快充X","19.80","1","null","颜色分类：苹果ios樱花粉[【1m】提速70%]","null","null","交易成功","null"
